Headings,Subheadings,Code Snippets
Python Packaging User Guide#,"Overview and Flow#, Tutorials#, Guides#, Explanations and Discussions#, Reference#",
Overview of Python Packaging#,"Thinking about deployment#, Packaging Python libraries and tools#, Python modules#, Python source distributions#, Python binary distributions#, Packaging Python applications#, Depending on a framework#, Service platforms#, Web browsers and mobile applications#, Depending on a pre-installed Python#, Depending on a separate software distribution ecosystem#, Bringing your own Python executable#, Bringing your own userspace#, Bringing your own kernel#, Bringing your own hardware#, What about…#, Operating system packages#, virtualenv#, Security#, Wrap up#",
The Packaging Flow#,"The source tree#, The configuration file#, Build artifacts#, The source distribution (sdist)#, The built distributions (wheels)#, Upload to the package distribution service#, Download and install#","[build-system]
requires = [""hatchling""]
build-backend = ""hatchling.build"""
Tutorials#,,
Installing Packages#,"Requirements for Installing Packages#, Ensure you can run Python from the command line#, Ensure you can run pip from the command line#, Ensure pip, setuptools, and wheel are up to date#, Optionally, create a virtual environment#, Creating Virtual Environments#, Use pip for Installing#, Installing from PyPI#, Source Distributions vs Wheels#, Upgrading packages#, Installing to the User Site#, Requirements files#, Installing from VCS#, Installing from other Indexes#, Installing from a local src tree#, Installing from local archives#, Installing from other sources#, Installing Prereleases#, Installing “Extras”#",python3 --version
Managing Application Dependencies#,"Installing Pipenv#, Installing packages for your project#, Using installed packages#, Next steps#, Other Tools for Application Dependency Management#",python3 -m pip install --user pipenv
Packaging Python Projects#,"A simple project#, Creating the package files#, Creating a test directory#, Choosing a build backend#, Configuring metadata#, Creating README.md#, Creating a LICENSE#, Including other files#, Generating distribution archives#, Uploading the distribution archives#, Installing your newly uploaded package#, Next steps#",python3 -m pip install --upgrade pip
Guides#,,
Installation#,,
Install packages in a virtual environment using pip and venv#,"Create and Use Virtual Environments#, Create a new virtual environment#, Activate a virtual environment#, Deactivate a virtual environment#, Reactivate a virtual environment#, Prepare pip#, Install packages using pip#, Install a package#, Install a specific package version#, Install extras#, Install a package from source#, Install from version control systems#, Install from local archives#, Install from other package indexes#, Upgrading packages#, Using a requirements file#, Freezing dependencies#",python3 -m venv .venv
Installing packages using virtualenv#,,
Installing stand alone command line tools#,,"python3 -m pip install --user pipx
python3 -m pipx ensurepath"
Installing pip/setuptools/wheel with Linux Package Managers#,"Fedora#, CentOS/RHEL#, openSUSE#, Debian/Ubuntu and derivatives#, Arch Linux#",sudo dnf install python3-pip python3-wheel
Installing scientific packages#,"Building from source#, Linux distribution packages#, Windows installers#, macOS installers and package managers#, SciPy distributions#, Spack#, The conda cross-platform package manager#",
Building and Publishing#,,
