Heading,Subheading,Pre Content
Installing Packages#,Requirements for Installing Packages#,python3--version
Installing Packages#,Creating Virtual Environments#,python3--version
Installing Packages#,Use pip for Installing#,python3--version
Installing Packages#,Installing from PyPI#,python3--version
Installing Packages#,Source Distributions vs Wheels#,python3--version
Installing Packages#,Upgrading packages#,python3--version
Installing Packages#,Installing to the User Site#,python3--version
Installing Packages#,Requirements files#,python3--version
Installing Packages#,Installing from VCS#,python3--version
Installing Packages#,Installing from other Indexes#,python3--version
Installing Packages#,Installing from a local src tree#,python3--version
Installing Packages#,Installing from local archives#,python3--version
Installing Packages#,Installing from other sources#,python3--version
Installing Packages#,Installing Prereleases#,python3--version
Installing Packages#,Installing “Extras”#,python3--version
Managing Application Dependencies#,Installing Pipenv#,python3-mpipinstall--userpipenv
Managing Application Dependencies#,Installing packages for your project#,python3-mpipinstall--userpipenv
Managing Application Dependencies#,Using installed packages#,python3-mpipinstall--userpipenv
Managing Application Dependencies#,Next steps#,python3-mpipinstall--userpipenv
Managing Application Dependencies#,Other Tools for Application Dependency Management#,python3-mpipinstall--userpipenv
Packaging Python Projects#,A simple project#,python3-mpipinstall--upgradepip
Packaging Python Projects#,Creating the package files#,python3-mpipinstall--upgradepip
Packaging Python Projects#,Creating a test directory#,python3-mpipinstall--upgradepip
Packaging Python Projects#,Choosing a build backend#,python3-mpipinstall--upgradepip
Packaging Python Projects#,Creating README.md#,python3-mpipinstall--upgradepip
Packaging Python Projects#,Creating a LICENSE#,python3-mpipinstall--upgradepip
Packaging Python Projects#,Including other files#,python3-mpipinstall--upgradepip
Packaging Python Projects#,Generating distribution archives#,python3-mpipinstall--upgradepip
Packaging Python Projects#,Uploading the distribution archives#,python3-mpipinstall--upgradepip
Packaging Python Projects#,Installing your newly uploaded package#,python3-mpipinstall--upgradepip
Packaging Python Projects#,Next steps#,python3-mpipinstall--upgradepip
Installation#,Create and Use Virtual Environments#,python3-mvenv.venv
Installation#,Prepare pip#,python3-mvenv.venv
Installation#,Install packages using pip#,python3-mvenv.venv
Installation#,Upgrading packages#,python3-mvenv.venv
Installation#,Using a requirements file#,python3-mvenv.venv
Installation#,Freezing dependencies#,python3-mvenv.venv
Installation#,Fedora#,sudodnfinstallpython3-pippython3-wheel
Installation#,CentOS/RHEL#,sudodnfinstallpython3-pippython3-wheel
Installation#,openSUSE#,sudodnfinstallpython3-pippython3-wheel
Installation#,Debian/Ubuntu and derivatives#,sudodnfinstallpython3-pippython3-wheel
Installation#,Arch Linux#,sudodnfinstallpython3-pippython3-wheel
Installation#,Building from source#,
Installation#,Linux distribution packages#,
Installation#,Windows installers#,
Installation#,macOS installers and package managers#,
Installation#,SciPy distributions#,
Installation#,Spack#,
Installation#,The conda cross-platform package manager#,
Building and Publishing#,Declaring the build backend#,"[build-system]requires=[""hatchling""]build-backend=""hatchling.build"""
Building and Publishing#,Static vs. dynamic metadata#,"[build-system]requires=[""hatchling""]build-backend=""hatchling.build"""
Building and Publishing#,Basic information#,"[build-system]requires=[""hatchling""]build-backend=""hatchling.build"""
Building and Publishing#,Dependencies and requirements#,"[build-system]requires=[""hatchling""]build-backend=""hatchling.build"""
Building and Publishing#,Creating executable scripts#,"[build-system]requires=[""hatchling""]build-backend=""hatchling.build"""
Building and Publishing#,About your project#,"[build-system]requires=[""hatchling""]build-backend=""hatchling.build"""
Building and Publishing#,Advanced plugins#,"[build-system]requires=[""hatchling""]build-backend=""hatchling.build"""
Building and Publishing#,A full example#,"[build-system]requires=[""hatchling""]build-backend=""hatchling.build"""
Building and Publishing#,Requirements for packaging and distributing#,python3-mpipinstalltwine
Building and Publishing#,Configuring your project#,python3-mpipinstalltwine
Building and Publishing#,Working in “development mode”#,python3-mpipinstalltwine
Building and Publishing#,Packaging your project#,python3-mpipinstalltwine
Building and Publishing#,Uploading your Project to PyPI#,python3-mpipinstalltwine
Building and Publishing#,Requirements#,"# setup.cfg[bdist_wheel]universal=0# Make the generated wheels have ""py3"" tag"
Building and Publishing#,Dealing with the universal wheels#,"# setup.cfg[bdist_wheel]universal=0# Make the generated wheels have ""py3"" tag"
Building and Publishing#,Defining the Python version required#,"# setup.cfg[bdist_wheel]universal=0# Make the generated wheels have ""py3"" tag"
Building and Publishing#,Dropping a Python release#,"# setup.cfg[bdist_wheel]universal=0# Make the generated wheels have ""py3"" tag"
Building and Publishing#,An overview of binary extensions#,count(Pythonminorversions)*count(OS)*count(architectures)
Building and Publishing#,Implementing binary extensions#,count(Pythonminorversions)*count(OS)*count(architectures)
Building and Publishing#,Building binary extensions#,count(Pythonminorversions)*count(OS)*count(architectures)
Building and Publishing#,Publishing binary extensions#,count(Pythonminorversions)*count(OS)*count(architectures)
Building and Publishing#,Additional resources#,count(Pythonminorversions)*count(OS)*count(architectures)
Building and Publishing#,Creating a namespace package#,"mynamespace/
    __init__.py
    subpackage_a/
        __init__.py
        ...
    subpackage_b/
        __init__.py
        ...
    module_b.py
pyproject.toml"
Building and Publishing#,Using naming convention#,"importimportlibimportpkgutildiscovered_plugins={name:importlib.import_module(name)forfinder,name,ispkginpkgutil.iter_modules()ifname.startswith('flask_')}"
Building and Publishing#,Using namespace packages#,"importimportlibimportpkgutildiscovered_plugins={name:importlib.import_module(name)forfinder,name,ispkginpkgutil.iter_modules()ifname.startswith('flask_')}"
Building and Publishing#,Using package metadata#,"importimportlibimportpkgutildiscovered_plugins={name:importlib.import_module(name)forfinder,name,ispkginpkgutil.iter_modules()ifname.startswith('flask_')}"
Building and Publishing#,Registering your account#,twineupload--repositorytestpypidist/*
Building and Publishing#,Using TestPyPI with Twine#,twineupload--repositorytestpypidist/*
Building and Publishing#,Using TestPyPI with pip#,twineupload--repositorytestpypidist/*
Building and Publishing#,Setting up TestPyPI in.pypirc#,twineupload--repositorytestpypidist/*
Building and Publishing#,Creating a README file#,python3-mpipinstall--user--upgradesetuptoolswheeltwine
Building and Publishing#,Including your README in your package’s metadata#,python3-mpipinstall--user--upgradesetuptoolswheeltwine
Building and Publishing#,Validating reStructuredText markup#,python3-mpipinstall--user--upgradesetuptoolswheeltwine
Building and Publishing#,Configuring trusted publishing#,name:Publish Python 🐍 distribution 📦 to PyPI and TestPyPIon:push
Building and Publishing#,Creating a workflow definition#,name:Publish Python 🐍 distribution 📦 to PyPI and TestPyPIon:push
Building and Publishing#,Checking out the project and building distributions#,name:Publish Python 🐍 distribution 📦 to PyPI and TestPyPIon:push
Building and Publishing#,Defining a workflow job environment#,name:Publish Python 🐍 distribution 📦 to PyPI and TestPyPIon:push
Building and Publishing#,Publishing the distribution to PyPI#,name:Publish Python 🐍 distribution 📦 to PyPI and TestPyPIon:push
Building and Publishing#,Signing the distribution packages#,name:Publish Python 🐍 distribution 📦 to PyPI and TestPyPIon:push
Building and Publishing#,Separate workflow for publishing to TestPyPI#,name:Publish Python 🐍 distribution 📦 to PyPI and TestPyPIon:push
Building and Publishing#,The whole CI/CD workflow#,name:Publish Python 🐍 distribution 📦 to PyPI and TestPyPIon:push
Building and Publishing#,"That’s all, folks!#",name:Publish Python 🐍 distribution 📦 to PyPI and TestPyPIon:push
